name,Categoria,address,CodiceIdentificativo,telephone,email,website,iso3
Tranquillity Wellness Zone,Aziende CerveteriErboristerie CerveteriPalestre Cerveteri,"Via Antonio Ricci, 11, Cerveteri RM, Italia  ",584619,320 765 3584,,,
Amministrazione Provinciale Di Roma,Aziende CerveteriScuole Cerveteri,"Piazza S. Maria, 14, Cerveteri RM, Italia  ",583047,06 995 1661,,,
Assi. Fin. Leasing E Servizi Di Lucenzi Rita,Aziende CerveteriAgenzie di assicurazione Cerveteri,"Via delle Mura Castellane, 40, Cerveteri Roma, Italia  ",574536,06 995 2515,,,
Subagenzia Allianz Lloyd Adriatico,Aziende CerveteriAgenzie di assicurazione Cerveteri,"Via Gargan Livry, 95/D, 00052 Cerveteri Roma, Italia  ",574537,06 995 1111,,,
Studio Di Consulenza Assicurativa Di Bellusci Fabio,Aziende CerveteriAgenzie di assicurazione Cerveteri,"Via Necropoli, 16, Cerveteri Roma, Italia  ",574533,06 994 2954,,,
Filzi Roberto,Aziende CerveteriAgenzie di assicurazione Cerveteri,"Via Umbria, 1, 00052 Cerveteri Roma, Italia  ",574534,06 994 1978,,,
Tirabassi Pier Giulio,Aziende CerveteriAgenzie di assicurazione Cerveteri,"Via Ceretana, 47, Cerveteri Roma, Italia  ",574535,06 9955 1964,,,
Santangelo Federico,Aziende CerveteriAgenzie di assicurazione Cerveteri,"Via Monte Zebio, 6, Cerveteri Roma, Italia  ",574531,06 994 2719,,,
Panzini Angelo,Aziende CerveteriAgenzie di assicurazione Cerveteri,"Via Settevene Palo, 228, 00052 Cerveteri Roma, Italia  ",574532,06 994 1059,,,
Cappellone Davide,Aziende CerveteriBar Cerveteri,"Via Ceretane, 49/D/E, Cerveteri Roma, Italia  ",572787,06 994 3320,,,
Bar I Gemelli,Aziende CerveteriBar Cerveteri,"Via Piave, 31, Cerveteri Roma, Italia  ",572788,06 994 2564,,,
K & C.srl,Aziende CerveteriOsterie CerveteriNegozi CerveteriNegozi di Alimentari Cerveteri,"Viale Alessandro Manzoni, 78, Cerveteri Roma, Italia  ",571741,06 995 3534,,,
Merlini Paolo,Aziende CerveteriOsterie CerveteriNegozi Cerveteri,"Piazza San Pietro, 1, 00052 Cerveteri Roma, Italia  ",571742,06 994 2569,,,
L'angolo del Benessere Cerveteri,Aziende CerveteriErboristerie CerveteriTerme Cerveteri,"Via Martiri delle Foibe, 55, Cerveteri RM, Italia  ",567243,06 3105 6641,,,
Garbini Roberto,Aziende CerveteriErboristerie Cerveteri,"Via Gargan Livry, 90, Cerveteri Roma, Italia  ",561138,06 994 3329,,,
Sciommeri Claudio''Dentagylla Centro Odontoprotesico '',Aziende CerveteriErboristerie Cerveteri,"Via delle Mura Castellane, 20, Cerveteri Roma, Italia  ",541655,06 994 0017,,,
ottica occhiali e occhiali,Aziende CerveteriErboristerie CerveteriNegozi Cerveteri,"Via Piave, 11, Cerveteri Roma, Italia  ",541656,06 994 2468,,,
Studio Cenciarini,Aziende CerveteriErboristerie Cerveteri,"Viale Giacomo Matteotti, 5, Cerveteri Roma, Italia  ",541653,389 118 2930,,,
Lucarini Alduino,Aziende CerveteriErboristerie Cerveteri,"Via Monte Zebio, 41, Cerveteri Roma, Italia  ",541654,06 994 3396,,,
Ars Medica Di Pierantozzi Fabrizio E Stefania Snc,Aziende CerveteriErboristerie CerveteriNegozi Cerveteri,"Via Settevene Palo, 267, Cerveteri Roma, Italia  ",541652,06 994 0067,,,
Autonoleggio Molinari,Aziende CerveteriNegozi CerveteriConcessionarie Auto Cerveteri,"Via Morella Fontana, 28, Cerveteri Roma, Italia  ",539835,347 890 8319,,,
Bar Manzoni,Aziende CerveteriBar Cerveteri,"Viale Alessandro Manzoni, 71, Cerveteri Roma, Italia  ",533432,06 9955 1523,,,
Bar Mezzopane,Aziende CerveteriBar Cerveteri,"Via Settevene Palo, 167, Cerveteri Roma, Italia  ",533433,06 994 3161,,,
La Chiccheria,Aziende CerveteriOsterie CerveteriNegozi CerveteriBar Cerveteri,"Piazza Aldo Moro, Cerveteri Roma, Italia  ",533434,,,,
Bar Del Gufo,Aziende CerveteriBar Cerveteri,"Via Matteotti Giacomo, 28, Cerveteri Roma, Italia  ",533431,06 995 2545,,,
Pizza Ciani,Aziende CerveteriRistoranti CerveteriOsterie Cerveteri,"Via Giulio Valeri, 3, Cerveteri Roma, Italia  ",528980,06 994 3776,,,
Caronte Wine Bar,Aziende CerveteriRistoranti CerveteriOsterie CerveteriBar Cerveteri,"Via Ceretana, 39, Cerveteri Roma, Italia  ",528981,328 277 4895,,,
Fraschetta Ceretana,Aziende CerveteriRistoranti CerveteriOsterie Cerveteri,"Via Ceretana, 16, Cerveteri Roma, Italia  ",528982,338 215 3963,,,
Punto Informazione Turistica,Aziende Cerveteri,"Piazza Aldo Moro, Cerveteri Roma, Italia  ",523702,06 9955 2637,,,
Trattoria Da Regina,Aziende CerveteriRistoranti CerveteriOsterie Cerveteri,"Via Sant'Antonio, 1, Bracciano Roma, Italia  ",520662,06 9980 4822,,,
Societa' Agricola Monte Abatone A.R.L.,Aziende CerveteriOsterie Cerveteri,"Via Settevene Palo, Cerveteri Roma, Italia  ",520664,06 994 2937,,,
Glamorosa di US Atelier Sposa,Aziende CerveteriNegozi CerveteriNegozi di Abbigliamento Cerveteri,"Piazza Risorgimento, 8, Cerveteri Roma, Italia  ",515580,,,,
Glamorosa,Aziende CerveteriNegozi CerveteriNegozi di Abbigliamento Cerveteri,"Piazza Risorgimento, 8/9, Cerveteri Roma, Italia  ",515581,06 994 0731,,,
Di Candeloro Maria Pia,Aziende CerveteriNegozi CerveteriNegozi di Abbigliamento Cerveteri,"Via Armando Diaz, 23, Cerveteri Roma, Italia  ",515577,06 994 1105,,,
Sconto Moda Di Caprio Raffaela,Aziende CerveteriNegozi CerveteriNegozi di Abbigliamento Cerveteri,"Via Settevene Palo, 80, Roma, Italia  ",515578,06 994 1459,,,
Papi Stefania,Aziende CerveteriNegozi CerveteriNegozi di Abbigliamento Cerveteri,"Via Mario Pelagalli, 99, Cerveteri Roma, Italia  ",515579,06 9955 1992,,,
Extreme Brasil Di Scrocchio Andrigetto Lisia Individuale,Aziende CerveteriNegozi CerveteriNegozi di Abbigliamento Cerveteri,"Via Livry Gargan, 5, Cerveteri Roma, Italia  ",515574,06 995 1795,,,
Tabaccheria Moda Badini,Aziende CerveteriNegozi CerveteriNegozi di Abbigliamento Cerveteri,"Piazza San Pietro, 4, Cerveteri Roma, Italia  ",515575,06 994 2572,,,
Mf2 Di Ferretti Massimo E C. Snc,Aziende CerveteriNegozi CerveteriNegozi di Abbigliamento Cerveteri,"Via Ceretana, 47, Cerveteri Roma, Italia  ",515576,06 994 2375,,,
Bevacqua Maria Carmela,Aziende CerveteriNegozi CerveteriNegozi di Abbigliamento Cerveteri,"Via delle Mura Castellane, 12, Cerveteri Roma, Italia  ",515570,06 994 0030,,,
Capriccio Snc,Aziende CerveteriNegozi CerveteriNegozi di Abbigliamento Cerveteri,"Via Sant'Angelo, 19, Cerveteri Roma, Italia  ",515572,06 995 1277,,,
Esigibili E Lucci Consorzitalia S.N.C.,Aziende CerveteriNegozi CerveteriNegozi di casalinghi Cerveteri,"Via Settevene Palo, Cerveteri Roma, Italia  ",514522,06 9955 9127,,,
Asso di Fiori S.r.l.,Aziende CerveteriNegozi CerveteriNegozi di casalinghi Cerveteri,"Via Settevene Palo, 113, Cerveteri, Roma, Italy  ",514519,06 994 3858,,,
Azienda,Aziende CerveteriNegozi CerveteriNegozi di casalinghi Cerveteri,"Via Settevene Palo, 196, Cerveteri Roma, Italia  ",514520,06 9724 8278,,,
Centro Tende Di Zanfino Monica,Aziende CerveteriNegozi CerveteriNegozi di casalinghi Cerveteri,"Via Madonna dei Canneti, 6, Cerveteri Roma, Italia  ",514521,06 994 1071,,,
Catalani Rita,Aziende CerveteriIstituti finanziari Cerveteri,"Via Livry Gargan, Cerveteri Roma, Italia  ",512951,06 9955 1983,,,
Servizi Cia Roma Srl,Aziende CerveteriIstituti finanziari Cerveteri,"Via Carlo Cavalieri, 1, Cerveteri Roma, Italia  ",512948,06 994 1478,,,
Personal Planner,Aziende CerveteriIstituti finanziari Cerveteri,"Via Villy de Luca, 1, Cerveteri Roma, Italia  ",512949,06 9934 5534,,,
Centro Servizi Sas Di Torsi Mario & C,Aziende CerveteriIstituti finanziari Cerveteri,"Via S. Angelo, 37, Cerveteri Roma, Italia  ",512950,06 995 1505,,,
Scuola Dell'Infanzia Maria Ss.Del Carmelo,Aziende CerveteriScuole Cerveteri,"Via dell'Ospedale, Cerveteri Roma, Italia  ",506399,06 995 1217,,,
Scuola Elementare Statale Giovanni Cena,Aziende CerveteriScuole Cerveteri,"Cerveteri Roma, Italia  ",506397,,,,
Centro Studi Le Pleiadi,Aziende CerveteriScuole Cerveteri,"Via Etruria, 45, Cerveteri Roma, Italia  ",506398,06 9684 4309,,,
Flamini Disinfestazioni di Flamini Gabriele,Aziende CerveteriNegozi CerveteriNegozi di casalinghi Cerveteri,"Via Armando Diaz, 79, Cerveteri Roma, Italia  ",487929,06 994 2724,,,
SOFTWAR di Pierpaolo Baldazzi,Aziende CerveteriNegozi CerveteriNegozi di Abbigliamento Cerveteri,"Via S. Maria, 20, Cerveteri Roma, Italia  ",487930,06 994 2248,,,
Trogu Giuseppe,Aziende CerveteriNegozi Cerveteri,"Via Necropoli, 15, Cerveteri Roma, Italia  ",487931,06 994 2364,,,
SOGNAFLEX di Menchini Alessia,Aziende CerveteriNegozi CerveteriNegozi di casalinghi CerveteriNegozi di arredamento Cerveteri,"Via Settevene Palo, 245, Cerveteri, Roma, Italy  ",487926,06 9724 2531,,,
CAERECOM S.A.S.,Aziende CerveteriNegozi CerveteriNegozi di elettronica Cerveteri,"Via Lombardia, 20, Cerveteri Roma, Italia  ",487927,349 885 5670,,,
De Caro Design,Aziende CerveteriNegozi CerveteriNegozi di casalinghi Cerveteri,"Via Giovanni Pascoli, 12, Cerveteri Roma, Italia  ",487928,333 977 8413,,,
Punto Parquet,Aziende CerveteriNegozi CerveteriNegozi di casalinghi CerveteriNegozi di arredamento Cerveteri,"Via Armando Diaz, 7, Cerveteri Roma, Italia  ",487923,06 995 1472,,,
Computel Assistenza e Vendita Computer e Telefonia,Aziende CerveteriNegozi CerveteriNegozi di elettronica Cerveteri,"Via Settevene Palo, 136, Cerveteri Roma, Italia  ",487924,345 334 4572,,,
ARAN CUCINE | Ricci Arredamenti,Aziende CerveteriNegozi CerveteriNegozi di casalinghi Cerveteri,"Via Settevene Palo, 229, Cerveteri Roma, Italia  ",487925,06 995 2051,,,
Necropoli Etrusca del Sorbo,Aziende CerveteriMusei Cerveteri,"Cerveteri Roma, Italia  ",483884,,,,
Armeria Stella Sporting,Aziende CerveteriNegozi Cerveteri,"Via Giacomo Matteotti, 30, Cerveteri Roma, Italia  ",454545,06 994 2716,,,
Gioielleria Bottega Orafa,Aziende CerveteriNegozi CerveteriGioiellerie Cerveteri,"Via Agillina, 15, Cerveteri Roma, Italia  ",443366,06 994 3195,,,
Azienda Unità Sanitaria Locale Roma F2 - Sede Distrettuale,Aziende CerveteriOspedali Cerveteri,"Via Madre Maria Crocifissa Curcio, 1-3, Cerveteri Roma, Italia  ",442451,06 9666 9733,,,
Pezzi Di Pizza,Aziende CerveteriRistoranti CerveteriOsterie Cerveteri,"Piazza Aldo Moro, 6, Cerveteri, Rome, Italy  ",420660,06 995 1877,,,
Pasticceria Fantauzzo,Aziende CerveteriOsterie CerveteriNegozi CerveteriPanetterie Cerveteri,"Via della Necropoli, Cerveteri, Rome, Italy  ",418556,,,,
Quetzal Caffe' di Trovato Federica E C SNC,Aziende CerveteriRistoranti CerveteriOsterie CerveteriBar Cerveteri,"Via delle Mura Castellane, 56, Cerveteri Roma, Italia  ",418551,06 9955 2640,,,
Lavanderia Roberta,Aziende CerveteriLavanderie Cerveteri,"Via Armando Diaz, 8, Cerveteri, Rome, Italy  ",411108,393 951 4255,,,
Supermercato Margherita Conad,Aziende CerveteriOsterie CerveteriNegozi CerveteriNegozi di Alimentari Cerveteri,"Piazza Antonio Gramsci, 5, Cerveteri, Rome, Italy  ",408414,06 994 2762,,,
Chiesa Madonna dei Canneti,Aziende CerveteriChiese CerveteriLuoghi di culto Cerveteri,"Cerveteri, Rome, Italy  ",406378,,,,
Chiesa di San Michele Arcangelo,Aziende CerveteriChiese CerveteriLuoghi di culto Cerveteri,"Via dell'Ospedale, Cerveteri, Rome, Italy  ",406375,,,,
Chiesa di Sant'Antonio Abate,Aziende CerveteriChiese CerveteriLuoghi di culto Cerveteri,"Vicolo Bastioni, Cerveteri, Rome, Italy  ",406377,,,,
Studio Medico Dott. Giuseppe Donato,Aziende CerveteriErboristerie CerveteriMedici Cerveteri,"Via Rosa Calabresi, 10, Cerveteri, Rome, Italy  ",405032,06 9955 1304,,,
Agricola Caere Di Donnini Fiorenzo & C. Snc,Aziende CerveteriOsterie Cerveteri,"Viale Alessandro Manzoni, 32, Cerveteri, Rome, Italy  ",373261,06 994 1502,,,
Molino Coletta & C. Snc,Aziende CerveteriOsterie Cerveteri,"Via Ceretana, 4, Cerveteri, Rome, Italy  ",373262,06 994 1994,,,
Pasticceria Rosati,Aziende CerveteriOsterie CerveteriNegozi CerveteriPanetterie Cerveteri,"Via Settevene Palo, 71, Cerveteri, Roma, Italy  ",373263,06 994 3256,,,
bar pasticceria la nota mancante,Aziende CerveteriOsterie CerveteriNegozi CerveteriBar Cerveteri,"Via Mario Pelagalli, 55, Cerveteri, Rome, Italy  ",373258,06 995 1640,,,
Trattoria dei Cacciatori,Aziende CerveteriRistoranti CerveteriOsterie Cerveteri,"Via Antonio Ricci, 8-9, Cerveteri, Rome, Italy  ",373259,06 994 2563,,,
C.C.M. Centro Carni Mastropietro S.R.L.,Aziende CerveteriOsterie CerveteriNegozi Cerveteri,"Via Settevene Palo, Cerveteri, Rome, Italy  ",373260,06 994 1028,,,
Mille800 Stazione del Gusto,Aziende CerveteriRistoranti CerveteriOsterie Cerveteri,"Via Antonio Ricci, 9, Cerveteri, Rome, Italy  ",373255,06 9955 1565,,,
Elio Sunrise Allevamento Staffordshire Bull Terrier ENCI/FCI,Aziende CerveteriOsterie Cerveteri,"Via A Marini, 79, Cerenova Cerveteri, Rome, Italy  ",373256,327 745 1480,,,
Ceri S.r.l.,Aziende CerveteriOsterie Cerveteri,"Via Settevene Palo, Cerveteri, Rome, Italy  ",373257,06 9920 7178,,,
TotalErg,Aziende CerveteriDistributori di benzina Cerveteri,"Via Mura Castellane, Cerveteri Roma, Italia  ",363479,,,,
Necropoli Etrusca Della Banditaccia,Aziende CerveteriMusei Cerveteri,"Piazza Mario Moretti, Cerveteri Roma, Italia  ",352832,06 994 0001,,,
Chiesa di Santa Maria Maggiore,Aziende CerveteriChiese CerveteriLuoghi di culto Cerveteri,"Piazza S. Maria, 14, Cerveteri Roma, Italia  ",352833,,,,
Tuttoufficio Snc Di Biancalana Simona E C.,Aziende Cerveteri,"Largo Almuneacar, 8, Roma, Italia  ",352834,06 994 1134,,,
Eco Store Cerveteri,Aziende Cerveteri,"Via Settevene Palo, 134, Cerveteri Roma, Italia  ",352829,06 995 3247,,,
Galatour S.R.L.,Aziende Cerveteri,"Piazza Aldo Moro, 17, Cerveteri Roma, Italia  ",352830,06 994 2861,,,
Associazione Pro-Loco Cerveteri,Aziende Cerveteri,"Piazza Risorgimento, 19, Cerveteri Roma, Italia  ",352831,06 9955 1971,,,
Necropoli Etrusca Della Banditaccia,Aziende CerveteriMusei Cerveteri,"Necropoli Etrusca Della Banditaccia, Piazza Mario Moretti, 00052 Cerveteri RM, Italia  ",352824,,,,
Fedeli,Aziende CerveteriNegozi CerveteriNegozi di Abbigliamento Cerveteri,"P.zza Dante 4, Bracciano Roma, Italia  ",352826,06 9980 4183,,,
Cinema Moderno,Aziende CerveteriCinema Cerveteri,"Via Armando Diaz, 29, Cerveteri Roma, Italia  ",352828,06 994 1525,,,
La Boutique del Fiore,Aziende CerveteriNegozi CerveteriFiorai Cerveteri,"Via Necropoli, 6, Cerveteri Roma, Italia  ",352750,06 994 0033,,,
Ufficio Postale di Cerveteri,Aziende CerveteriIstituti finanziari CerveteriUffici postali Cerveteri,"Via Settevene di Palo, 214, Cerveteri Roma, Italia  ",342914,06 995 5601,,,
Studio Legale Associato Belardinelli Flacchi,Aziende CerveteriAvvocati Cerveteri,"Via Antonio Ricci, 11, Cerveteri Roma, Italia  ",340359,06 995 1774,,,
Caramia Avv. Pietro,Aziende CerveteriAvvocati Cerveteri,"Via Ceretana, 49, Cerveteri Roma, Italia  ",340360,06 994 2979,,,
Marconi Avv. Carla,Aziende CerveteriAvvocati Cerveteri,"Via Ceretana, 12, Cerveteri Roma, Italia  ",340357,06 994 3755,,,
Studio Legale Iazzi Maria Alessandra,Aziende CerveteriAvvocati Cerveteri,"Via Roma, 24, Cerveteri Roma, Italia  ",340358,06 995 1388,,,
Polizia Locale,Aziende CerveteriPolizia Cerveteri,"Via Friuli, 7, Cerveteri Roma, Italia  ",333264,06 994 2586,,,
Morasca Margherita,Aziende CerveteriAlberghi Cerveteri,"Strada Ix, Cerveteri, RM 00052, Italia  ",329314,06 9920 7215,,,
Villa Degli Etruschi,Aziende CerveteriAlberghi Cerveteri,"Via Sant'Angelo, 85, Cerveteri Roma, Italia  ",329311,06 995 1007,,,
Fenicottero Rosa Snc di Giordano Fausto C.,Aziende CerveteriAlberghi Cerveteri,"Via Roma, 1, Cerveteri Roma, Italia  ",329312,06 9907 9126,,,
Parcheggio del Cimitero,Aziende CerveteriParcheggi Cerveteri,"Via Francesco Rosati, Cerveteri Roma, Italia  ",325074,,,,
ComputerTechnology.IT,Aziende CerveteriNegozi CerveteriNegozi di elettronica Cerveteri,"Via Armando Diaz, 32, Cerveteri Provincia di Roma, Italia  ",322185,06 8956 7789,,,
A.T. Elettronica,Aziende CerveteriNegozi CerveteriNegozi di casalinghi CerveteriNegozi di elettronica Cerveteri,"Via Piave, 45, Cerveteri, Provincia di Roma, Italy  ",322186,06 994 3416,,,
Polenta Vincenza,Aziende CerveteriBar Cerveteri,"4 Piazza Dei Tarquini, Cerveteri, RM 00052, Italia  ",296940,06 995 1183,,,
Lamanna Carla,Aziende CerveteriBar Cerveteri,"Cerveteri Roma, Italia  ",296941,06 990 5393,,,
Jolly Bar,Aziende CerveteriRistoranti CerveteriOsterie CerveteriNegozi CerveteriBar Cerveteri,"Via S. Maria, 24, Cerveteri Roma, Italia  ",296936,06 994 0005,,,
I Gemelli Di Zinno Mario E Ezio E C. Snc,Aziende CerveteriBar Cerveteri,"Via Piave, 31, Cerveteri Roma, Italia  ",296937,06 994 2564,,,
Bar la fornace,Aziende CerveteriBar Cerveteri,"Via Livry Gargan, 1, Cerveteri Roma, Italia  ",296938,06 994 3320,,,
Bar Magia Di Bonucci Anna,Aziende CerveteriBar Cerveteri,"Viale Alessandro Manzoni, 68, Cerveteri Roma, Italia  ",296939,06 994 1288,,,
Mito S.A.S. Di Vittoria Darelli E C.,Aziende CerveteriBar Cerveteri,"Largo Almunecar, 11, Cerveteri Roma, Italia  ",296933,06 994 1449,,,
Di Berardino Orietta,Aziende CerveteriBar Cerveteri,"Piazza Risorgimento, 16, Cerveteri Roma, Italia  ",296934,06 994 0023,,,
Piccardi Maria,Aziende CerveteriBar Cerveteri,"Via Settevene Palo, 332, Cerveteri Roma, Italia  ",296935,06 994 1073,,,
Fantasia 2003 Sas Di Ghelarducci Barbara & C.,Aziende CerveteriBar Cerveteri,"Piazza Risorgimento, Cerveteri Roma, Italia  ",296932,06 994 3140,,,
De Mattia Fabio Traslochi,Aziende CerveteriNegozi CerveteriNegozi di casalinghi CerveteriTraslochi Cerveteri,"Viale Alessandro Manzoni, Italia  ",292303,338 772 7743,,,
Hobby Garden Zoo,Aziende CerveteriNegozi CerveteriNegozi di animali Cerveteri,"Via Settevene Palo, 272, Cerveteri Roma, Italia  ",287063,06 994 1414,,,
Associazione Sportiva Dimensione Danza 2000,Aziende CerveteriScuole Cerveteri,"Via Armando Diaz, 10, Cerveteri Roma, Italia  ",264509,06 994 3953,,,
Scuola Materna Montessori,Aziende CerveteriScuole Cerveteri,"Via Settevene Palo, Cerveteri Roma, Italia  ",264510,06 994 2632,,,
Liceo Scientifico Statale Sandro Pertini,Aziende CerveteriScuole Cerveteri,"Via Settevene Palo, Cerveteri Roma, Italia  ",264508,06 995 1259,,,
Poste Italiane Spa,Aziende CerveteriIstituti finanziari CerveteriUffici postali Cerveteri,"Via Settevene Palo, 90, Cerveteri Roma, Italia  ",248100,06 995 5601,,,
City Poste Di Scarpellini Laura,Aziende CerveteriIstituti finanziari CerveteriUffici postali Cerveteri,"Via Francesco Rosati, 16, Cerveteri Roma, Italia  ",248098,06 994 2806,,,
Poste Italiane,Uffici Comunali CerveteriAziende CerveteriIstituti finanziari CerveteriUffici postali CerveteriCommercialisti Cerveteri,"Via Settevene Palo, 214, Cerveteri Roma, Italia  ",248099,06 9955 6020,,,
De Santis Paola,Aziende CerveteriNegozi CerveteriFiorai Cerveteri,"Via Mario Pelagalli, Cerveteri Roma, Italia  ",246830,06 995 1179,,,
Ranieri Marisa,Aziende CerveteriNegozi CerveteriFiorai Cerveteri,"Via Necropoli, 6, Cerveteri Roma, Italia  ",246831,06 994 0033,,,
La Primavera Fiori E Piante,Aziende CerveteriNegozi CerveteriFiorai Cerveteri,"Via Piave, 10, Cerveteri Roma, Italia  ",246829,06 995 1056,,,
Giacobbi Vittorio,Aziende CerveteriMeccanici Auto Cerveteri,"STRADA 118, Cerveteri, RM 00052, Italia  ",243005,06 9907 9165,,,
Chiarideo Carmelino,Aziende CerveteriMeccanici Auto Cerveteri,"Via Torquato Tasso, 3, Cerveteri Roma, Italia  ",243006,06 994 2674,,,
Quadrifoglio Di Di Benedetto Marco E Massimo E C.,Aziende CerveteriMeccanici Auto Cerveteri,"Km. 18.400 Via Settevene Palo, Cerveteri, RM 00052, Italia  ",243007,06 994 9652,,,
Officina Gnazi Di Massimo Virgili,Aziende CerveteriMeccanici Auto Cerveteri,"Km. 18.400 Via Settevene Palo, Cerveteri, RM 00052, Italia  ",243002,06 994 9366,,,
S.A.R.I. 2000 Societa' Autoricambi Italiana Srl,Aziende CerveteriNegozi CerveteriMeccanici Auto Cerveteri,"Viale Alessandro Manzoni, 51, Cerveteri Roma, Italia  ",243003,06 994 3592,,,
Benedetti Girolamo,Aziende CerveteriMeccanici Auto Cerveteri,"Viale Alessandro Manzoni, 51, Cerveteri Roma, Italia  ",243004,06 995 3147,,,
Autofficina Gta Di Avversari Simone & C. S.A.S.,Aziende CerveteriMeccanici Auto Cerveteri,"Via Fontana Morella, 9, Cerveteri Roma, Italia  ",243001,06 994 3745,,,
Museo Nazionale Cerite Claudia Ruspoli,Aziende CerveteriMusei Cerveteri,"Via S. Maria, 1, Cerveteri Roma, Italia  ",235105,06 994 1354,,,
Grillo Maria Cristina,Aziende CerveteriErboristerie CerveteriMedici Cerveteri,"Via Livry Gargan, Cerveteri Roma, Italia  ",233945,06 9955 2820,,,
Dott Fausto Todaro Fausto,Aziende CerveteriErboristerie CerveteriMedici CerveteriDentisti Cerveteri,"Viale Alessandro Manzoni, 82, Cerveteri Roma, Italia  ",233943,06 995 1873,,,
Ungaro Dr. Vincenzo,Aziende CerveteriErboristerie CerveteriMedici Cerveteri,"Via Piave, 30, Cerveteri Roma, Italia  ",233944,06 995 2390,,,
Brazzini Dr. Christian - Rapagnetta Dr. Antonio,Aziende CerveteriErboristerie CerveteriMedici Cerveteri,"Via Vittorio Veneto, 2B, Cerveteri Roma, Italia  ",233940,06 9955 0980,,,
Frattale Dr. Ezio,Aziende CerveteriErboristerie CerveteriMedici CerveteriDentisti Cerveteri,"Via Settevene Palo, 81, Cerveteri Roma, Italia  ",233941,06 995 3262,,,
Danese Galano Clemente,Aziende CerveteriErboristerie CerveteriMedici CerveteriDentisti Cerveteri,"Via S. Angelo, 1, Cerveteri Roma, Italia  ",233942,06 995 1282,,,
Fiammella Dr. Massimo,Aziende CerveteriErboristerie CerveteriMedici CerveteriDentisti Cerveteri,"Via delle Mura Castellane, 28, Cerveteri Roma, Italia  ",233938,06 995 3089,,,
Dottori Antonio,Aziende CerveteriErboristerie CerveteriMedici Cerveteri,"Largo Guido Rossa, 22, Cerveteri Roma, Italia  ",233939,06 995 3190,,,
Spano Marco,Aziende CerveteriErboristerie CerveteriMedici Cerveteri,"Via Fontana Morella, 8, Cerveteri Roma, Italia  ",233935,06 9955 1527,,,
Bombardieri Dr. Nicola,Aziende CerveteriErboristerie CerveteriMedici CerveteriDentisti Cerveteri,"Viale Alessandro Manzoni, 42, Cerveteri Roma, Italia  ",233936,06 995 1572,,,
Di Lucia Dr. Vittorio,Aziende CerveteriErboristerie CerveteriMedici CerveteriDentisti Cerveteri,"Via Settevene Palo, Cerveteri Roma, Italia  ",233937,06 995 2326,,,
Banca Fideuram Spa,Aziende CerveteriIstituti finanziari CerveteriBanche Cerveteri,"Cerveteri Roma, Italia  ",222462,,,,
Unicredit Spa,Aziende CerveteriIstituti finanziari CerveteriBanche Cerveteri,"Via Settevene Palo, 217, Cerveteri Roma, Italia  ",222463,06 8782 7005,,,
Intesa Sanpaolo Spa,Aziende CerveteriIstituti finanziari CerveteriBanche Cerveteri,"Via Armando Diaz, 10, Cerveteri Roma, Italia  ",222459,06 9955 2917,,,
Banca Di Credito Cooperativo Di Roma Ag. 46,Aziende CerveteriIstituti finanziari CerveteriBanche Cerveteri,"33 Viale Manzoni Alessandro, Cerveteri, RM 00052, Italia  ",222460,06 994 3507,,,
Cassa Risparmio Di Civitavecchia Agenzia Di Cerveteri,Aziende CerveteriBancomat CerveteriIstituti finanziari CerveteriBanche Cerveteri,"Via Armando Diaz, 10, Cerveteri Roma, Italia  ",222461,06 995 5291,,,
Banca Monte dei Paschi di Siena,Aziende CerveteriBancomat CerveteriIstituti finanziari CerveteriBanche Cerveteri,"Via Carlo Goldoni, 4/B, Cerveteri Roma, Italia  ",222458,06 9955 1229,,,
Neverland Di D'Amico Pasquale,Aziende CerveteriRistoranti CerveteriOsterie Cerveteri,"Viale Alessandro Manzoni, 44, Cerveteri Roma, Italia  ",217885,06 995 1099,,,
Il Braciere,Aziende CerveteriRistoranti CerveteriOsterie Cerveteri,"Via Settevene Palo, Cerveteri Roma, Italia  ",217886,06 994 2718,,,
Errebi Di Paolo Cordeschi,Aziende CerveteriRistoranti CerveteriOsterie Cerveteri,"Via Armando Diaz, 17, Cerveteri Roma, Italia  ",217882,06 9992 4277,,,
Sfoglia D'Oro Di Di Giuseppe Enrica & C. Sas,Aziende CerveteriRistoranti CerveteriOsterie CerveteriNegozi Cerveteri,"Via S. Angelo, 22, Cerveteri Roma, Italia  ",217883,06 995 2052,,,
Bugli Angelo,Aziende CerveteriRistoranti CerveteriOsterie Cerveteri,"Via Bastioni, 46, Cerveteri Roma, Italia  ",217884,06 994 1507,,,
Trattoria Zi Maria,Aziende CerveteriRistoranti CerveteriOsterie Cerveteri,"via Manzana, 2, Cerveteri Roma, Italia  ",217878,06 9907 9029,,,
Ristorante Pizzeria La Contrada,Aziende CerveteriRistoranti CerveteriOsterie Cerveteri,"Via Giulio Valeri, 11, Cerveteri Roma, Italia  ",217879,06 994 3203,,,
Trattoria Del Castello Srl,Aziende CerveteriRistoranti CerveteriOsterie Cerveteri,"Via Del Castello, 2, Cerveteri Roma, Italia  ",217880,0766 570670,,,
Micarelli Simone,Aziende CerveteriRistoranti CerveteriOsterie Cerveteri,"Via Mario Pelagalli, 13, Cerveteri Roma, Italia  ",217881,06 994 3413,,,
