name,Categoria,address,CodiceIdentificativo,telephone,email,website,iso3
Orghest + Annarosa,Aziende San Gregorio da SassolaRistoranti San Gregorio da SassolaOsterie San Gregorio da Sassola,"Strada Provinciale 53a, 12, 00010 San Gregorio Da Sassola RM, Italia  ",911052,,,,
Poste Italiane,Aziende Camerata NuovaIstituti finanziari Camerata NuovaUffici postali Camerata Nuova,"Viale Alessandro Manzoni, 3, 00020 Camerata Nuova RM, Italia  ",910959,0774 924245,,,
Lavanderia Onorati,Aziende CivitavecchiaLavanderie Civitavecchia,"Via Leopoli, 53, 00053 Civitavecchia RM, Italia  ",910943,,,,
Le Terme Calzoleria Lavanderia,Aziende CivitavecchiaLavanderie Civitavecchia,"Viale Giacomo Matteotti, 00053 Civitavecchia RM, Italia  ",910944,,,,
www.boyegirl.it Abbigliamento Bambino 0-18 anni,Aziende PalestrinaNegozi PalestrinaNegozi di Abbigliamento Palestrina,"Via Prenestina Nuova, 2b, 00036 Palestrina RM, Italia  ",910724,06 9520 1023,,,
PUF di Cinzia Pettoni,Aziende PalestrinaNegozi PalestrinaNegozi di Abbigliamento Palestrina,"Viale Pio XII, 136, 00036 Palestrina RM, Italia  ",910725,06 957 4557,,,
Linea Oro Sport Palestrina,Aziende PalestrinaNegozi PalestrinaNegozi di Abbigliamento Palestrina,"Via Prenestina Nuova, 181, 00036 Palestrina RM, Italia  ",910726,06 9441 6981,,,
Gelateria Treccioni,Aziende AnzioOsterie AnzioNegozi Anzio,"Riviera Vittorio Mallozzi, 19, 00042 Anzio RM, Italia  ",910696,06 984 6538,,,
Il Deposito,Aziende AnzioNegozi AnzioNegozi di casalinghi Anzio,"Via Bengasi, 43, 00042 Anzio RM, Italia  ",910697,,,,
Fioraio Claudia Ferrara,Aziende AnzioNegozi Anzio,"Via del Cimitero, 1, 00042 Anzio RM, Italia  ",910693,06 984 5594,,,
My Fashion Store,Aziende AnzioNegozi Anzio,"Via Francesco Breschi, 20, 00042 Anzio RM, Italia  ",910694,06 6400 6447,,,
ORO CASH,Aziende AnzioNegozi AnzioGioiellerie Anzio,"via aldobrandini 12/b, 00042 Anzio RM, Italia  ",910695,06 983 0670,,,
Foto Digital Discount Anzio,Aziende AnzioNegozi Anzio,"Via Roma, 23, 00042 Anzio RM, Italia  ",910692,06 9834 0022,,,
La Fenice,Aziende CiampinoTerme Ciampino,"Via della Folgarella, 91/95, 00043 Ciampino RM, Italia  ",910665,06 4543 3072,,,
Ristorante Scalella,Aziende MoriconeBar Moricone,"Via Della Petronella, 2, 00010 Moricone RM, Italia  ",910603,06 719 4341,,,
Hospice Oncologico,Aziende CivitavecchiaOspedali Civitavecchia,"VIa Braccianese Claudia, 00053 Civitavecchia RM, Italia  ",910422,,,,
Ospedale San Paolo,Aziende CivitavecchiaOspedali Civitavecchia,"Largo Donatori del Sangue, 00053 Civitavecchia RM, Italia  ",910423,390 766 5911,,,
MC Assicurazioni S.r.l. - Agenzia di Formello,Aziende FormelloAgenzie di assicurazione Formello,"Viale Umberto l°, 24, Formello RM, Italia  ",910398,06 908 8642,,,
D Alessio Anna Clara Anna Clara,Aziende FormelloAgenzie di assicurazione Formello,"18, Via Umberto I, Formello, RM 00060, Italia  ",910399,06 908 8640,,,
Gherardo Maviglia Assicurazioni E C. Societa' In Nome Collettivo,Aziende FormelloAgenzie di assicurazione Formello,"Via Roma, 10, 00060 Formello RM, Italia  ",910400,06 908 9526,,,
Colle della Croce,Aziende San Polo dei CavalieriOsterie San Polo dei Cavalieri,"Via 20 Settembre, 5, 00010 San Polo dei Cavalieri RM, Italia  ",910377,333 729 8317,,,
Statua Il Pescatore Di Cieli,Aziende FiumicinoParchi Fiumicino,"Ponte 2 Giugno, 00054 Fiumicino RM, Italia  ",910346,,,,
Parco Tommaso Forti,Aziende FiumicinoParchi Fiumicino,"Via Lorenzo Bezzi, 00054 Isola Sacra RM, Italia  ",910347,,,,
Bar Pontelli,Aziende Anguillara SabaziaBar Anguillara Sabazia,"Viale Reginaldo Belloni, 00061 Anguillara Sabazia RM, Italia  ",909989,,,,
Kasanova,Aziende RomaNegozi RomaNegozi di casalinghi RomaNegozi di arredamento Roma,"Via di Boccea, 145, 00167 Roma, Italia  ",909880,06 6601 4737,,,
parco leonardo,Aziende FiumicinoCentri commerciali Fiumicino,"Via Portunno, 52, 00054 Fiumicino RM, Italia  ",909689,,,,
ASD Ftp Functional Training,Aziende CerveteriErboristerie CerveteriPalestre Cerveteri,"Cerveteri RM, Italia  ",909598,338 610 3015,,,
"Uffici Giudiziari. Tribunale di Velletri, sezione LAVORO",Aziende VelletriPalazzi di giustizia Velletri,"Via Artemisia Mammucari, 40, 00049 Velletri RM, Italia  ",909571,06 9614 2635,,,
Procura Della Repubblica,Aziende VelletriPalazzi di giustizia Velletri,"Piazzale Giovanni Falcone, 00049 Velletri RM, Italia  ",909572,06 961 5021,,,
Uffici Giudiziari. UNEP . Casellario giudiziario. Sezione Fallimentare,Uffici Comunali VelletriAziende VelletriPalazzi di giustizia Velletri,"Via Laracca, 00049 Velletri RM, Italia  ",909573,06 961 5001,,,
Dolci e caffè,Aziende Campagnano di RomaBar Campagnano di Roma,"Strada Provinciale 10a, 3, 00063 Campagnano di Roma RM, Italia  ",909540,,,,
Delizie di latte,Aziende AnzioOsterie AnzioNegozi AnzioNegozi di Alimentari Anzio,"Piazzale Orazio, 00042 Anzio RM, Italia  ",909497,327 237 3804,,,
Assistenza condizionatori Roma,Aziende Roma,via silvio benco 55  ,909406,3397965002,3397965002,,
Ristorante Pizzeria L'Anfiteatro,Aziende LanuvioRistoranti LanuvioOsterie Lanuvio,"Via Roma, 3, 00040 Lanuvio RM, Italia  ",909245,06 937 6749,,,
san Martino,Aziende MonteflavioChiese MonteflavioLuoghi di culto Monteflavio,"Via Monte Gennaro, 2, 00010 Monteflavio RM, Italia  ",909178,,,,
Agenzia Funeraria Torrisi,Aziende PalestrinaPompe funebri Palestrina,"Viale Pio XII, 47, 00036 Palestrina RM, Italia  ",909145,06 957 0500,,,
Onoranze Funebri Gli Angeli,Aziende Fiano RomanoPompe funebri Fiano Romano,"Via Giovanni Amendola, 1, 00065 Fiano Romano RM, Italia  ",909110,06 907 0771,,,
Onoranze Funebri Ungaretti Di Ungaretti Simone,Aziende BraccianoPompe funebri Bracciano,"Via Flavia, 27/29, 00062 Bracciano RM, Italia  ",909108,328 153 7025,,,
Galanti S.r.l.,Aziende BraccianoPompe funebri Bracciano,"Via delle Palme, 5, 00062 Bracciano RM, Italia  ",909107,06 998 6777,,,
Onoranze Funebri Smef,Aziende AricciaPompe funebri Ariccia,"Via della Croce, 00040 Ariccia RM, Italia  ",909106,,,,
Onoranze Funebri Triolo,Aziende AricciaPompe funebri Ariccia,"Corso Giuseppe Garibaldi, 21, 00040 Ariccia RM, Italia  ",909105,06 934 3721,,,
Sara Hair Style,Aziende GenazzanoParrucchieri Genazzano,"Via Trento e Trieste, 00030 Genazzano RM, Italia  ",908934,,,,
Macelleria Galieti Maurizio e Mauro,Aziende LanuvioOsterie LanuvioNegozi Lanuvio,"Piazza Santa Maria Maggiore, 36, 00075 Lanuvio RM, Italia  ",908738,06 937 6362,,,
Poliambulatorio Albano,Aziende Albano LazialeErboristerie Albano LazialeMedici Albano Laziale,"Via Galleria di Sotto, 6, 00041 Albano Laziale RM, Italia  ",908441,,,,
Porta Cretella (rovine),Aziende Canale Monterano,"Str. Antica Monterano, 00060 Canale Monterano RM, Italia  ",908226,06 996 2724,,,
Chiesa di San Rocco (rovine),Aziende Canale Monterano,"Str. Antica Monterano, 00060 Canale Monterano RM, Italia  ",908223,06 996 2724,,,
Riserva Naturale Regionale Monterano,Aziende Canale MonteranoParchi Canale Monterano,"00060 Canale Monterano RM, Italia  ",908224,06 996 2724,,,
Fontana del Leone di Palazzo Altieri,Aziende Canale Monterano,"Str. Antica Monterano, 00060 Canale Monterano RM, Italia  ",908225,,,,
Acquedotto di Monterano (rovine),Aziende Canale Monterano,"Antica Monterano, Str. Antica Monterano, 00060 Canale Monterano RM, Italia  ",908222,06 996 2724,,,
Carrozzeria Di Arca Roberto,Aziende CaveMeccanici Auto Cave,"Via Madonna del Campo, 1, 00033 Cave RM, Italia  ",908069,338 483 8064,,,
F.G. Arredamenti Di Fabrizio Leoni & C Sas,Aziende VelletriNegozi VelletriNegozi di casalinghi VelletriNegozi di arredamento Velletri,"Via del Comune, 23, 00049 Velletri RM, Italia  ",907986,06 9614 2494,,,
Tendaggi Ottaviani Materassi,Aziende VelletriNegozi VelletriNegozi di casalinghi VelletriNegozi di arredamento Velletri,"Via Menotti Garibaldi, 29, 00049 Velletri RM, Italia  ",907987,,,,
Amburgher,Aziende CivitavecchiaRistoranti CivitavecchiaOsterie Civitavecchia,"Civitavecchia, Largo Monsignor d'ardia 21, 00053 Civitavecchia RM, Italia  ",907909,348 258 4529,,,
Officina del Gusto,Aziende CivitavecchiaRistoranti CivitavecchiaOsterie Civitavecchia,"Piazza Aurelio Saffi, 26, 00053 Civitavecchia RM, Italia  ",907910,,,,
Il Fuoco Di Bacco,Aziende CivitavecchiaRistoranti CivitavecchiaOsterie Civitavecchia,"Via Traiana, 70, 00053 Civitavecchia RM, Italia  ",907911,347 246 2301,,,
Pizzeria Red Carpet,Aziende CivitavecchiaRistoranti CivitavecchiaOsterie Civitavecchia,"Via Rodi, 13, 00053 Civitavecchia RM, Italia  ",907906,0766 420468,,,
DOLCE VITA RISTORANTE PIZZERIA BRACERIA BAR,Aziende CivitavecchiaRistoranti CivitavecchiaOsterie CivitavecchiaNegozi CivitavecchiaTrattorie Civitavecchia,"Via Terme di Traiano, 119, 00053 Civitavecchia RM, Italia  ",907907,0766 20739,,,
Pizza LE,Aziende CivitavecchiaRistoranti CivitavecchiaOsterie Civitavecchia,"Via Roma, 9, 00053 Civitavecchia RM, Italia  ",907908,0766 370464,,,
Ristorante Arche' Di Giordano Ruocco E Esteban Alexis Lo Bue,Aziende CivitavecchiaRistoranti CivitavecchiaOsterie Civitavecchia,"Piazza Aurelio Saffi, 15, 00053 Civitavecchia RM, Italia  ",907904,0766 670673,,,
Pizzeria Far West,Aziende CivitavecchiaRistoranti CivitavecchiaOsterie Civitavecchia,"Via Pietro Nenni, 18, 00053 Civitavecchia RM, Italia  ",907905,328 242 3056,,,
Carrozzeria Alessandrelli,Aziende CiampinoMeccanici Auto Ciampino,"Via IV Novembre, 11, 00043 Ciampino RM, Italia  ",907892,,,,
cimitero comunale,Aziende Monteflavio,"Via dei Taurini, 4, 00010 Monteflavio RM, Italia  ",907801,,,,
La Triade Pizzeria,Aziende Guidonia MontecelioRistoranti Guidonia MontecelioOsterie Guidonia Montecelio,"Via Nuova, 00012 Montecelio RM, Italia  ",907734,0774 511356,,,
Pro Loco Montecelio,Aziende Guidonia Montecelio,"Piazza San Giovanni Evangelista, 00012 Guidonia Montecelio RM, Italia  ",907733,349 371 3733,,,
"Artviva-The Original and Best Tours, Rome",Aziende Albano LazialeAgenzie di viaggio Albano Laziale,"Vatican City Rome, Artviva Vatican Museum Tour, Rome in One Glorious Day, 00120 Rome, RM, Italia  ",907663,055 264 5033,,,
ITALIA TRAVEL SERVICE,Aziende Albano LazialeAgenzie di viaggio Albano Laziale,"Via Riccardo Lombardi, 6, 00044 Albano Laziale RM, Italia  ",907664,,,,
Centopercen Tocachemire,Aziende FrascatiNegozi FrascatiGioiellerie Frascati,"Via 24 Maggio, 142, 00046 Grottaferrata RM, Italia  ",907338,06 941 2741,,,
Erboristeria La Passiflora - Frascati,Aziende FrascatiNegozi Frascati,"Via Ajani, 19, 00044 Frascati RM, Italia  ",907337,06 942 1573,,,
Raggio Di Sole Srl,Aziende Anguillara SabaziaNegozi Anguillara SabaziaNegozi di Abbigliamento Anguillara Sabazia,"22, VIA ROMANA, Anguillara Sabazia, RM 00061, Italia  ",907334,06 996 8637,,,
Azienda Agricola Delle Fratte Marco,Aziende Anguillara SabaziaOsterie Anguillara SabaziaNegozi Anguillara SabaziaNegozi di Alimentari Anguillara Sabazia,"Via Anna Lacometti, 2-4, 00061 Anguillara Sabazia RM, Italia  ",907335,,,,
Gentile Chantal,Aziende ZagaroloSaloni di Bellezza Zagarolo,"Viale Ungheria, 84, 00039 Zagarolo RM, Italia  ",907319,06 957 6147,,,
Estetica Maiani Barbara,Aziende ZagaroloSaloni di Bellezza Zagarolo,"Via del Cinema, 20, 00039 Zagarolo RM, Italia  ",907320,06 957 6334,,,
Studio Dentistico Giordano Valerio,Aziende Fonte Nuova,"Via dei Platani, 11, 00013 Tor Lupara RM, Italia  ",907236,06 906 3309,,,
Scuola Di Musica Giuseppe Verdi,Aziende PomeziaScuole Pomezia,"Via F.Lli Bandiera, 38, 00040 Pomezia RM, Italia  ",906972,,,,
Centro Benessere Elle,Aziende PalestrinaTerme Palestrina,"Vicolo S. Gerolamo, 11, 00036 Palestrina RM, Italia  ",906958,06 9527 0347,,,
Parrucchiera Nadia,Aziende GrottaferrataParrucchieri Grottaferrata,"Viale I Maggio, 19, 00046 Grottaferrata RM, Italia  ",906929,,,,
Coiffeur per Uomo Prima,Aziende GrottaferrataParrucchieri Grottaferrata,"Via A. Santovetti, 60, 00046 Grottaferrata RM, Italia  ",906930,,,,
Istituto E.Mattei,Aziende PalestrinaScuole Palestrina,"Via Prenestina Antica, 204, 00036 Palestrina RM, Italia  ",906864,06 953 6339,,,
Agenzia Traduzioni Roma 101 ProServices,Aziende Roma,Via Noto 33 - 00182 Roma (RM)  ,906851,06 702 77 11,connettivita[at]gmail.com,www.101proservices.com/,
Mr Razor 1943,Aziende FrascatiErboristerie FrascatiParrucchieri Frascati,"Via Santi Filippo e Giacomo, 22-24, 00044 Frascati RM, Italia  ",906838,393 873 0001,,,
ModaMilitare.it,Aziende Anguillara SabaziaNegozi Anguillara SabaziaNegozi di Abbigliamento Anguillara Sabazia,"Via Carlo Alberto Dalla Chiesa, 7/a, 00061 Anguillara Sabazia RM, Italia  ",906641,06 9724 0120,,,
P5,Aziende CiampinoParcheggi Ciampino,"00178 Roma, Italia - 00178 Ciampino (RM)  ",906599,,,,
Parcheggio Aeroporto Ciampino P10,Aziende CiampinoParcheggi Ciampino,"Via Mario Mameli, 00178 Roma, Italia  ",906597,,,,
Parcheggio P7,Aziende CiampinoParcheggi Ciampino,"Via Mario Mameli, 00178 Roma, Italia  ",906598,,,,
Parcheggio,Aziende CiampinoParcheggi Ciampino,"Via di Morena, 4, 00043 Ciampino RM, Italia  ",906594,,,,
P4,Aziende CiampinoParcheggi Ciampino,"Roma RM, Italia - 00043 Ciampino (RM)  ",906595,,,,
Breve Sosta - P3,Aziende CiampinoParcheggi Ciampino,"Via Appia Nuova, 1651, 00040 Ciampino RM, Italia  ",906596,,,,
P2,Aziende CiampinoParcheggi Ciampino,"Roma, Italia - 00043 Ciampino (RM)  ",906593,06 8898 1984,,,
Bar Cuccagna,Aziende Campagnano di RomaBar Campagnano di Roma,"Corso Vittorio Emanuele, 36, 00063 Campagnano di Roma RM, Italia  ",906429,,,,
Bar Nolfi,Aziende AnzioBar Anzio,"Viale Marconi, 18, 00042 Anzio RM, Italia  ",906379,,,,
Dolce Notte Cafe' Artena,Aziende ArtenaRistoranti ArtenaOsterie ArtenaNegozi ArtenaPanetterie Artena,"Via Latina 17, 00031 Artena RM, Italia  ",906355,338 274 2832,,,
La Dispensa Supermarket,Aziende ArtenaOsterie ArtenaNegozi ArtenaNegozi di Alimentari Artena,"Largo Cristoforo Colombo, 15, 00031 Artena RM, Italia  ",906356,,,,
Impresa Funebre Lorenzetti S.R.L.,Aziende FiumicinoPompe funebri Fiumicino,"Via del Faro, 28, Isola Sacra RM, Italia  ",906343,06 6502 4424,,,
Villa Bellini,Aziende Sant'Angelo RomanoRistoranti Sant'Angelo RomanoOsterie Sant'Angelo Romano,"Località Piedimonte, 00010 Sant'Angelo Romano RM, Italia  ",906267,335 619 7202,,,
Cooperativa Agricola Le Cerase,Aziende Sant'Angelo RomanoOsterie Sant'Angelo Romano,"Localita' Grottacerqueta, Sant'Angelo Romano, RM 00010, Italia  ",906268,0774 421333,,,
Agricola Giardini,Aziende Sant'Angelo RomanoOsterie Sant'Angelo Romano,"Località Piedimonte, 7, 00010 Sant'Angelo Romano RM, Italia  ",906269,0774 420383,,,
Palestra Polivalente Velletri,Aziende VelletriErboristerie VelletriPalestre Velletri,"Via del Campo Sportivo, 1, 00049 Velletri RM, Italia  ",906235,,,,
Consorzio Mediolanum Anguillara Sabazia 1,Aziende BraccianoIstituti finanziari BraccianoBanche Bracciano,"Via Giuseppe Garibaldi, 62, 00062 Bracciano RM, Italia  ",906203,06 8882 9509,,,
Banca Mediolanum,Aziende BraccianoIstituti finanziari BraccianoBanche Bracciano,"Via Garibaldi, 10, 00062 Bracciano RM, Italia  ",906202,06 8882 9509,,,
Pasticceria Da Nino,Aziende CiampinoOsterie CiampinoNegozi CiampinoPanetterie Ciampino,"Via IV Novembre, 95, 00043 Ciampino RM, Italia  ",905943,06 791 1708,,,
Bar Pasticceria La Salernitana,Aziende PomeziaOsterie PomeziaNegozi PomeziaPanetterie Pomezia,"Via Roma, 69, 00071 Pomezia RM, Italia  ",905939,389 648 6926,,,
Barber Shop Ahsan,Aziende GrottaferrataErboristerie GrottaferrataParrucchieri Grottaferrata,"Viale I Maggio, 26, 00046 Grottaferrata RM, Italia  ",905760,,,,
Parrucchiere Uomo Giancarlo,Aziende GrottaferrataParrucchieri Grottaferrata,"Via XX Settembre, 16, 00046 Grottaferrata RM, Italia  ",905761,06 945 6407,,,
Rds immobiliare,Aziende AricciaAgenzie Immobiliari Ariccia,"Viale Antonietta Chigi, 14, 00040 Ariccia RM, Italia  ",905592,06 3105 9983,,,
Assicurazioni Generali,Aziende CerveteriAgenzie di assicurazione Cerveteri,"Via Ceretana, 55, 00052 Cerveteri RM, Italia  ",905497,06 994 3568,,,
Assicurazioni Toro Pisanelli Viviana,Aziende CerveteriAgenzie di assicurazione Cerveteri,"Piazza Risorgimento, 4, 00052 Cerveteri RM, Italia  ",905498,06 995 3431,,,
Banca di Credito Cooperativo di Ronciglione,Aziende Campagnano di RomaBancomat Campagnano di RomaIstituti finanziari Campagnano di RomaBanche Campagnano di Roma,"Via Roma, 11, 00063 Campagnano di Roma RM, Italia  ",905494,06 904 2823,,,
AXA MPS,Aziende Campagnano di RomaIstituti finanziari Campagnano di RomaBanche Campagnano di Roma,"n199, Via Ignazio Silone, 00063 Campagnano di Roma RM, Italia  ",905495,,,,
Autoscuole Cenci,Uffici Comunali Albano LazialeAziende Albano LazialeMeccanici Auto Albano LazialeAgenzie di assicurazione Albano Laziale,"Via Cairoli, 3, 00041 Albano Laziale RM, Italia  ",905478,06 934 0105,,,
santa Maria Assunta,Aziende MonteflavioChiese MonteflavioLuoghi di culto Monteflavio,"Via della Regina, 4, 00010 Monteflavio RM, Italia  ",905400,,,,
Idraulicasa Di Alfredo Ventresca,Aziende Anzio,"Via Aldobrandini, 31, 00042 Anzio RM, Italia  ",905304,347 277 1062,,,
Compro Oro Il Gioiello Di Gina Renzi,Aziende Olevano RomanoNegozi Olevano RomanoGioiellerie Olevano Romano,"Viale V. Veneto, 1, Olevano Romano RM, Italia  ",905241,366 755 5200,,,
IL CARTOLAIO MATTO,Aziende Olevano RomanoNegozi Olevano Romano,"00035 Olevano Romano RM, Italia  ",905242,06 956 3180,,,
Lisola Dei Tesori Roma,Aziende MentanaOsterie MentanaNegozi MentanaNegozi di Alimentari Mentana,"Via Antonio Moscatelli, 231, 00013 Mentana RM, Italia  ",905240,,,,
Vetreria De Remiggi Giuseppa Di Valdemaro Manduchi & C. Snc,Aziende FiumicinoNegozi Fiumicino,"Via del Faro, 113, Fiumicino RM, Italia  ",905231,347 657 3553,,,
Nero Abbigliamento,Aziende AllumiereNegozi AllumiereNegozi di Abbigliamento Allumiere,"Piazza Repubblica, 1, 00051 Allumiere RM, Italia  ",905203,,,,
La Cambusa,Aziende ValmontoneOsterie ValmontoneTrattorie Valmontone,"Fashion District, 00038 Valmontone RM, Italia  ",905004,,,,
STUDIO LEGALE MORESCHINI,Aziende Vicovaro,"Via Licinese, 1c, 00029 Vicovaro RM, Italia  ",904909,0774 498187,,,
Swarovski,Aziende MonterotondoNegozi MonterotondoGioiellerie Monterotondo,"Via G. Matteotti, 16, 00015 Monterotondo RM, Italia  ",904904,06 9062 2168,,,
Frutta e Verdura,Aziende CivitavecchiaOsterie CivitavecchiaNegozi CivitavecchiaNegozi di Alimentari Civitavecchia,"Via A. Montanucci, 50, 00053 Civitavecchia RM, Italia  ",904822,,,,
Meta Supermercato,Aziende CivitavecchiaOsterie CivitavecchiaNegozi CivitavecchiaNegozi di Alimentari Civitavecchia,"Via A. Montanucci, 13, 00053 Civitavecchia RM, Italia  ",904823,,,,
Alimentari Da Vitiello,Aziende CivitavecchiaOsterie CivitavecchiaNegozi CivitavecchiaNegozi di Alimentari Civitavecchia,"Via Cavalieri di Malta, 00053 Civitavecchia RM, Italia  ",904824,,,,
Castelnuovo,Aziende MorlupoStazioni ferroviarie MorlupoMetro Morlupo,Italia - 00067 Morlupo (RM)  ,904790,,,,
Gruppo Ortodermico Laboratorio,Aziende Arsoli,"Via S. Lorenzo, 83, 00023 Arsoli RM, Italia  ",904608,342 076 6760,,,
SB. MANAGEMENT,Aziende Arsoli,"Via Stiratoio, 31, 00023 Arsoli RM, Italia  ",904605,0774 920305,,,
Teatro La Fenice,Aziende Arsoli,"Piazza dei Martiri Antifascisti, 1, 00023 Arsoli RM, Italia  ",904606,,,,
Parrocchia SS. Salvatore,Aziende ArsoliChiese ArsoliLuoghi di culto Arsoli,"Via della Chiesa, 3, 00023 Arsoli RM, Italia  ",904607,0774 920062,,,
F.D. Immobiliare Di Fravili Daniela,Aziende Mentana,"Via Marsala, 18, 00013 Mentana RM, Italia  ",904577,06 909 3576,,,
Chiesa di S. Anatolia (S. Maria di Rapello),Aziende CaveChiese CaveLuoghi di culto Cave,"Via Rapello, 41, 00033 Cave RM, Italia  ",904501,,,,
Chiesa di S. Pietro,Aziende CaveChiese CaveLuoghi di culto Cave,"Via Rapello, 27, 00033 Cave RM, Italia  ",904502,,,,
Chiesa di San Lorenzo,Aziende CaveChiese CaveLuoghi di culto Cave,"Piazza Giulio Venzi, 3, 00033 Cave RM, Italia  ",904500,,,,
Ferramenta Casalinghi Burlazzi,Aziende Rignano FlaminioNegozi Rignano FlaminioNegozi di serramenti Rignano Flaminio,"Piazza Vittorio Emanuele, 50, 00068 Rignano Flaminio RM, Italia  ",904477,0761 509071,,,
UCB Lanuvio,Aziende LanuvioErboristerie LanuvioPalestre Lanuvio,"Via Passo della Corte, 1, 00040 Lanuvio RM, Italia  ",904463,,,,
PalaGalieti,Aziende LanuvioErboristerie LanuvioPalestre Lanuvio,"00075, Via Passo della Corte, 3, 00040 Lanuvio RM, Italia  ",904464,,,,
Centro Arredamenti Di Conte Alfredo,Aziende Monte Porzio CatoneNegozi Monte Porzio CatoneNegozi di casalinghi Monte Porzio CatoneNegozi di arredamento Monte Porzio Catone,"Via Zanardelli, 2, 00040 Monte Porzio Catone RM, Italia  ",904445,06 944 7223,,,
Beauty Point la Profumeria,Aziende Monte Porzio CatoneNegozi Monte Porzio CatoneNegozi di Abbigliamento Monte Porzio Catone,"Via Roma, 25, 00040 Monte Porzio Catone RM, Italia  ",904446,06 944 7315,,,
Laboratorio tapezzeria Ricottini,Aziende Monte Porzio CatoneNegozi Monte Porzio CatoneNegozi di casalinghi Monte Porzio CatoneNegozi di arredamento Monte Porzio Catone,"Via Roma, 44, 00040 Monte Porzio Catone RM, Italia  ",904447,06 942 0320,,,
Effepi Libri,Aziende Monte Porzio CatoneNegozi Monte Porzio CatoneLibrerie Monte Porzio Catone,"Via Frascati Antica, 31/a, 00078 Monte Porzio Catone RM, Italia  ",904448,,,,
De Angelis Mobili Snc,Aziende Monte Porzio CatoneNegozi Monte Porzio CatoneNegozi di casalinghi Monte Porzio CatoneNegozi di arredamento Monte Porzio Catone,"Via Frascati, 2, 00040 Monte Porzio Catone RM, Italia  ",904449,06 942 0140,,,
Scacchi Nardina,Aziende Monte Porzio CatoneNegozi Monte Porzio CatoneNegozi di casalinghi Monte Porzio CatoneNegozi di arredamento Monte Porzio Catone,"Via Armando Diaz, 6, 00040 Monte Porzio Catone RM, Italia  ",904444,06 944 8222,,,
Madonna di Lourdes,Aziende AllumiereChiese AllumiereLuoghi di culto Allumiere,"Via delle Mimose, 13, 00051 Allumiere RM, Italia  ",904418,,,,
santa Maria Assunta,Aziende AllumiereChiese AllumiereLuoghi di culto Allumiere,"Piazza Cardinale Mertel, 1, 00051 Allumiere RM, Italia  ",904419,,,,
GMP Impianti snc,Aziende MorlupoElettricisti Morlupo,"Viale Dei Caduti in Guerra, 12, 00060 Castelnuovo di Porto RM, Italia  ",904336,335 695 3364,,,
Chiesa Santa Maria Delle Grazie,Aziende SambuciChiese SambuciLuoghi di culto Sambuci,"Via de Mattias Maria, 7, 00020 Sambuci RM, Italia  ",904308,,,,
Ciocca Media Solution Srl - Wind-Tim,Aziende Fiano RomanoNegozi Fiano Romano,"Via Tiberina, 91, Fiano Romano RM, Italia  ",904209,06 907 3674,,,
Centro Fuoco,Aziende Fiano RomanoRistoranti Fiano RomanoOsterie Fiano Romano,"Via Palmiro Togliatti, 115/A, 00065 Fiano Romano RM, Italia  ",904203,0765 481570,,,
Macelleria Alessandro E Laura Di Alessandro Ciminelli,Aziende Fiano RomanoOsterie Fiano RomanoNegozi Fiano Romano,"Viale Giordano Bruno, 7, 00065 Fiano Romano RM, Italia  ",904204,0765 480138,,,
Il Papavero - Baguettes M.A.G. Srl,Aziende Fiano RomanoOsterie Fiano Romano,"Via Aldo Moro, 103, 00065 Fiano Romano RM, Italia  ",904202,333 627 8555,,,
Emporio Tabacchi,Aziende NemiNegozi Nemi,"Piazza Pietro de Sanctis, 14, 00040 Nemi RM, Italia  ",903899,,,,
Exspert,Aziende VelletriNegozi VelletriNegozi di elettronica Velletri,"Via Pantanaccio, 04100 Latina LT, Italia  ",903892,,,,
ipercarni well food srl,Aziende Genzano di RomaOsterie Genzano di RomaNegozi Genzano di RomaNegozi di Alimentari Genzano di Roma,"Via Torino, 4, 00045 Genzano di Roma RM, Italia  ",903877,,,,
Monterotondo,Aziende MentanaErboristerie MentanaMedici Mentana,"Via Nomentana, 4, 00013 Monterotondo RM, Italia  ",903832,06 906 0540,,,
Casa di Riposo Santa Lucia,Aziende Cave,"Viale Giorgioli, 3, 00033 Cave RM, Italia  ",903708,393 306 2405,,,
Sab Studio Professionisti Associati,Aziende GrottaferrataNegozi GrottaferrataNegozi di casalinghi Grottaferrata,"Via Giuseppe Garibaldi, 33, Grottaferrata RM, Italia  ",903593,06 3105 6371,,,
Mobili Reti Materassi,Aziende GrottaferrataNegozi GrottaferrataNegozi di casalinghi GrottaferrataNegozi di arredamento Grottaferrata,"Via Roma, 00046 Grottaferrata RM, Italia  ",903594,,,,
UBI BANCA,Aziende San Polo dei CavalieriIstituti finanziari San Polo dei CavalieriBanche San Polo dei Cavalieri,"Via Roma, 12, 00010 San Polo dei Cavalieri RM, Italia  ",903548,0774 416111,,,
Bar Gastronomia,Aziende PomeziaBar Pomezia,"Via Virgilio, 57, 00040 Pomezia RM, Italia  ",903400,,,,
Rossana Fiorista,Aziende Monte CompatriNegozi Monte CompatriFiorai Monte Compatri,Italia - 00040 Monte Compatri (RM)  ,903372,,,,
Area Cani,Aziende CiampinoParchi Ciampino,"Via Atene, 13, 00043 Ciampino RM, Italia  ",903244,,,,
Parco Aldo Moro,Aziende CiampinoParchi Ciampino,"Via Mura dei Francesi, 00043 Ciampino RM, Italia  ",903245,,,,
